"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Baie Verte (T), Newfoundland and Labrador","2016A00051008079","Persons","249","units","0","v1138979174","69","1285","","","","0"
"2021","Baie Verte (T), Newfoundland and Labrador","2016A00051008079","Persons","249","units","0","v1138979174","69","1304","","","","0"
"2020","Burgeo (T), Newfoundland and Labrador","2016A00051003028","Persons","249","units","0","v1138979175","70","1230","","","","0"
"2021","Burgeo (T), Newfoundland and Labrador","2016A00051003028","Persons","249","units","0","v1138979175","70","1157","","","","0"
"2020","Division No.  7, Subd. K (SNO), Newfoundland and Labrador","2016A00051007009","Persons","249","units","0","v1138979176","71","1232","","","","0"
"2021","Division No.  7, Subd. K (SNO), Newfoundland and Labrador","2016A00051007009","Persons","249","units","0","v1138979176","71","1220","","","","0"
"2020","Division No.  7, Subd. L (SNO), Newfoundland and Labrador","2016A00051007006","Persons","249","units","0","v1138979177","72","1155","","","","0"
"2021","Division No.  7, Subd. L (SNO), Newfoundland and Labrador","2016A00051007006","Persons","249","units","0","v1138979177","72","1183","","","","0"
"2020","St. George's (T), Newfoundland and Labrador","2016A00051004013","Persons","249","units","0","v1138979178","73","1243","","","","0"
"2021","St. George's (T), Newfoundland and Labrador","2016A00051004013","Persons","249","units","0","v1138979178","73","1262","","","","0"
"2020","St. Lawrence (T), Newfoundland and Labrador","2016A00051002008","Persons","249","units","0","v1138979179","74","1167","","","","0"
"2021","St. Lawrence (T), Newfoundland and Labrador","2016A00051002008","Persons","249","units","0","v1138979179","74","1162","","","","0"
"2020","St. Alban's (T), Newfoundland and Labrador","2016A00051003019","Persons","249","units","0","v1138979180","75","1115","","","","0"
"2021","St. Alban's (T), Newfoundland and Labrador","2016A00051003019","Persons","249","units","0","v1138979180","75","1128","","","","0"
"2020","Division No.  4, Subd. B (SNO), Newfoundland and Labrador","2016A00051004006","Persons","249","units","0","v1138979181","76","1132","","","","0"
"2021","Division No.  4, Subd. B (SNO), Newfoundland and Labrador","2016A00051004006","Persons","249","units","0","v1138979181","76","1131","","","","0"
"2020","Centreville-Wareham-Trinity (T), Newfoundland and Labrador","2016A00051007050","Persons","249","units","0","v1138979182","77","1079","","","","0"
"2021","Centreville-Wareham-Trinity (T), Newfoundland and Labrador","2016A00051007050","Persons","249","units","0","v1138979182","77","1060","","","","0"
"2020","Nain (T), Newfoundland and Labrador","2016A00051011035","Persons","249","units","0","v1138979183","78","1112","","","","0"
"2021","Nain (T), Newfoundland and Labrador","2016A00051011035","Persons","249","units","0","v1138979183","78","1110","","","","0"
"2020","Division No.  1, Subd. Y (SNO), Newfoundland and Labrador","2016A00051001293","Persons","249","units","0","v1138979184","79","1173","","","","0"
"2021","Division No.  1, Subd. Y (SNO), Newfoundland and Labrador","2016A00051001293","Persons","249","units","0","v1138979184","79","1187","","","","0"
"2020","Division No.  1, Subd. M (SNO), Newfoundland and Labrador","2016A00051001421","Persons","249","units","0","v1138979185","80","1090","","","","0"
"2021","Division No.  1, Subd. M (SNO), Newfoundland and Labrador","2016A00051001421","Persons","249","units","0","v1138979185","80","1089","","","","0"
"2020","Harbour Main-Chapel's Cove-Lakeview (T), Newfoundland and Labrador","2016A00051001469","Persons","249","units","0","v1138979186","81","1028","","","","0"
"2021","Harbour Main-Chapel's Cove-Lakeview (T), Newfoundland and Labrador","2016A00051001469","Persons","249","units","0","v1138979186","81","1030","","","","0"
"2020","Roddickton-Bide Arm (T), Newfoundland and Labrador","2016A00051009007","Persons","249","units","0","v1138979187","82","950","","","","0"
"2021","Roddickton-Bide Arm (T), Newfoundland and Labrador","2016A00051009007","Persons","249","units","0","v1138979187","82","934","","","","0"
"2020","Musgrave Harbour (T), Newfoundland and Labrador","2016A00051008006","Persons","249","units","0","v1138979188","83","960","","","","0"
"2021","Musgrave Harbour (T), Newfoundland and Labrador","2016A00051008006","Persons","249","units","0","v1138979188","83","925","","","","0"
"2020","Triton (T), Newfoundland and Labrador","2016A00051008054","Persons","249","units","0","v1138979189","84","957","","","","0"
"2021","Triton (T), Newfoundland and Labrador","2016A00051008054","Persons","249","units","0","v1138979189","84","978","","","","0"
"2020","Samiajij Miawpukek (IRI), Newfoundland and Labrador","2016A00051003801","Persons","249","units","0","v1138979190","85","980","","","","0"
"2021","Samiajij Miawpukek (IRI), Newfoundland and Labrador","2016A00051003801","Persons","249","units","0","v1138979190","85","1003","","","","0"
"2020","Hare Bay (T), Newfoundland and Labrador","2016A00051007049","Persons","249","units","0","v1138979191","86","931","","","","0"
"2021","Hare Bay (T), Newfoundland and Labrador","2016A00051007049","Persons","249","units","0","v1138979191","86","923","","","","0"
"2020","Petty Harbour-Maddox Cove (T), Newfoundland and Labrador","2016A00051001551","Persons","249","units","0","v1138979192","87","997","","","","0"
"2021","Petty Harbour-Maddox Cove (T), Newfoundland and Labrador","2016A00051001551","Persons","249","units","0","v1138979192","87","988","","","","0"
"2020","Arnold's Cove (T), Newfoundland and Labrador","2016A00051001270","Persons","249","units","0","v1138979193","88","931","","","","0"
"2021","Arnold's Cove (T), Newfoundland and Labrador","2016A00051001270","Persons","249","units","0","v1138979193","88","921","","","","0"
